ALARM ID,0,,,,,
DATE,2023/4/27,12:13:16,,,,
,,,,,,
No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
290,2023/1/9,11:40:09,155,ON,3,ノッチ前進不良
291,2023/1/9,11:33:39,868,ON,2,横穴未貫通異常
292,2023/1/8,21:45:38,154,ON,3,ノッチ前進不良
293,2023/1/31,9:49:32,429,ON,4,首下位置不良
294,2023/1/31,9:49:12,907,ON,2,横穴未貫通異常
295,2023/1/31,15:56:38,920,ON,2,横穴未貫通異常
296,2023/1/31,15:46:36,919,ON,2,横穴未貫通異常
297,2023/1/31,15:23:21,918,ON,2,横穴未貫通異常
298,2023/1/31,15:21:09,917,ON,2,横穴未貫通異常
299,2023/1/31,15:14:44,916,ON,2,横穴未貫通異常
300,2023/1/31,15:03:59,915,ON,2,横穴未貫通異常
301,2023/1/31,13:37:39,914,ON,2,横穴未貫通異常
302,2023/1/31,13:13:16,913,ON,2,横穴未貫通異常
303,2023/1/31,13:07:39,912,ON,2,横穴未貫通異常
304,2023/1/31,13:04:07,911,ON,2,横穴未貫通異常
305,2023/1/31,12:29:39,822,ON,34,ワーク無し異常
306,2023/1/31,12:19:28,910,ON,2,横穴未貫通異常
307,2023/1/31,12:13:24,909,ON,2,横穴未貫通異常
308,2023/1/31,11:38:51,908,ON,2,横穴未貫通異常
309,2023/1/30,18:18:05,821,ON,34,ワーク無し異常
310,2023/1/30,18:18:05,162,ON,3,ノッチ前進不良
311,2023/1/30,17:11:16,820,ON,34,ワーク無し異常
312,2023/1/30,16:14:32,906,ON,2,横穴未貫通異常
313,2023/1/30,13:30:51,819,ON,34,ワーク無し異常
314,2023/1/30,13:10:51,905,ON,2,横穴未貫通異常
315,2023/1/27,9:27:36,428,ON,4,首下位置不良
316,2023/1/27,9:27:14,904,ON,2,横穴未貫通異常
317,2023/1/27,11:44:35,10,ON,53,首下位置ｾﾝｻｰ異常
318,2023/1/27,11:43:01,818,ON,34,ワーク無し異常
319,2023/1/27,10:46:21,228,ON,0,安全クラッチ異常
320,2023/1/26,19:43:36,817,ON,34,ワーク無し異常
321,2023/1/26,16:37:35,161,ON,3,ノッチ前進不良
322,2023/1/26,16:21:59,816,ON,34,ワーク無し異常
323,2023/1/26,14:53:16,903,ON,2,横穴未貫通異常
324,2023/1/26,14:35:13,902,ON,2,横穴未貫通異常
325,2023/1/26,14:34:42,901,ON,2,横穴未貫通異常
326,2023/1/26,14:23:06,900,ON,2,横穴未貫通異常
327,2023/1/26,14:22:58,899,ON,2,横穴未貫通異常
328,2023/1/26,13:28:17,227,ON,0,安全クラッチ異常
329,2023/1/25,9:23:06,895,ON,2,横穴未貫通異常
330,2023/1/25,9:12:58,427,ON,4,首下位置不良
331,2023/1/25,9:12:39,894,ON,2,横穴未貫通異常
332,2023/1/25,11:42:40,226,ON,0,安全クラッチ異常
333,2023/1/25,11:14:02,898,ON,2,横穴未貫通異常
334,2023/1/25,11:03:32,897,ON,2,横穴未貫通異常
335,2023/1/25,10:51:58,815,ON,34,ワーク無し異常
336,2023/1/25,10:32:30,896,ON,2,横穴未貫通異常
337,2023/1/24,19:50:33,814,ON,34,ワーク無し異常
338,2023/1/24,19:27:23,426,ON,4,首下位置不良
339,2023/1/24,19:25:21,225,ON,0,安全クラッチ異常
340,2023/1/24,18:50:44,893,ON,2,横穴未貫通異常
341,2023/1/24,18:24:26,224,ON,0,安全クラッチ異常
342,2023/1/24,17:19:52,892,ON,2,横穴未貫通異常
343,2023/1/24,17:19:47,891,ON,2,横穴未貫通異常
344,2023/1/24,17:16:40,223,ON,0,安全クラッチ異常
345,2023/1/24,16:17:59,813,ON,34,ワーク無し異常
346,2023/1/24,15:54:47,890,ON,2,横穴未貫通異常
347,2023/1/24,12:07:40,812,ON,34,ワーク無し異常
348,2023/1/24,11:39:53,5,ON,32,非常停止PB検出
349,2023/1/24,11:18:05,811,ON,34,ワーク無し異常
350,2023/1/24,11:06:45,889,ON,2,横穴未貫通異常
351,2023/1/24,11:00:36,888,ON,2,横穴未貫通異常
352,2023/1/24,10:13:50,810,ON,34,ワーク無し異常
353,2023/1/23,17:35:22,887,ON,2,横穴未貫通異常
354,2023/1/23,17:33:17,886,ON,2,横穴未貫通異常
355,2023/1/23,17:22:47,885,ON,2,横穴未貫通異常
356,2023/1/23,15:42:14,884,ON,2,横穴未貫通異常
357,2023/1/23,14:56:42,883,ON,2,横穴未貫通異常
358,2023/1/23,13:40:09,882,ON,2,横穴未貫通異常
359,2023/1/20,12:38:23,160,ON,3,ノッチ前進不良
360,2023/1/20,12:38:22,23,ON,54,ｶｳﾝﾄ用ｾﾝｻｰ異常
361,2023/1/20,12:26:45,22,ON,54,ｶｳﾝﾄ用ｾﾝｻｰ異常
362,2023/1/20,12:18:55,21,ON,54,ｶｳﾝﾄ用ｾﾝｻｰ異常
363,2023/1/19,17:46:11,809,ON,34,ワーク無し異常
364,2023/1/19,17:38:38,808,ON,34,ワーク無し異常
365,2023/1/19,16:23:46,222,ON,0,安全クラッチ異常
366,2023/1/19,15:50:12,807,ON,34,ワーク無し異常
367,2023/1/19,13:45:37,806,ON,34,ワーク無し異常
368,2023/1/19,12:39:08,221,ON,0,安全クラッチ異常
369,2023/1/19,12:12:13,220,ON,0,安全クラッチ異常
370,2023/1/19,11:37:38,219,ON,0,安全クラッチ異常
371,2023/1/19,11:24:45,159,ON,3,ノッチ前進不良
372,2023/1/19,11:08:26,881,ON,2,横穴未貫通異常
373,2023/1/18,9:08:42,878,ON,2,横穴未貫通異常
374,2023/1/18,9:01:17,425,ON,4,首下位置不良
375,2023/1/18,9:00:57,877,ON,2,横穴未貫通異常
376,2023/1/18,17:48:48,880,ON,2,横穴未貫通異常
377,2023/1/18,16:28:27,20,ON,54,ｶｳﾝﾄ用ｾﾝｻｰ異常
378,2023/1/18,16:10:47,879,ON,2,横穴未貫通異常
379,2023/1/18,16:05:17,34,ON,48,排出残留ﾜｰｸ検知異常
380,2023/1/18,16:05:17,158,ON,3,ノッチ前進不良
381,2023/1/18,11:03:32,805,ON,34,ワーク無し異常
382,2023/1/17,18:28:55,804,ON,34,ワーク無し異常
383,2023/1/17,17:51:36,876,ON,2,横穴未貫通異常
384,2023/1/17,16:12:46,803,ON,34,ワーク無し異常
385,2023/1/17,15:48:36,218,ON,0,安全クラッチ異常
386,2023/1/11,9:29:15,19,ON,54,ｶｳﾝﾄ用ｾﾝｻｰ異常
387,2023/1/11,9:26:01,875,ON,2,横穴未貫通異常
388,2023/1/11,14:21:22,802,ON,34,ワーク無し異常
389,2023/1/11,13:23:39,801,ON,34,ワーク無し異常
